Symbol,Name,Sector,CurrentPrice,ClosedPrice
ANET,Arista Networks,Computer Hardware,168.38,169.39
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,183.365,184.44
AIZ,Assurant,Insurance—Specialty,112.03,112.3
T,AT&T Inc. provides telecommunications and technology services worldwide. The company operates through two segments,Telecom Services,18.4608,18.46
ATO,Atmos Energy Corporation,Utilities—Regulated Gas,107.26,106.52
ADSK,Autodesk,Software—Application,199.165,201.14
ADP,Automatic Data Processing,Staffing & Employment Services,212.787,213.62
AZO,AutoZone,Specialty Retail,2311.14,2307.82
AVB,As of December 31,REIT—Residential,153.995,154.07
AVY,Avery Dennison Corporation operates as materials science and digital identification solutions company. It provides branding and information labeling solutions,Packaging & Containers,169.18,169.63
BAC,Bank of America Corporation,Banks—Diversified,26.4692,26.97
BAX,Baxter International Inc.,Medical Instruments & Supplies,38.57,38.12
BDX,Becton,Medical Instruments & Supplies,238.45,236.38
BBY,Best Buy Co.,Specialty Retail,74.25,74.59
BIO,Bio-Rad Laboratories,Medical Devices,453.81,456.32
BIIB,Biogen Inc. discovers,Drug Manufacturers—General,265.085,265.17
BLK,BlackRock,Asset Management,639.93,651.78
BA,The Boeing Company,Aerospace & Defense,194.62,197.9
BKNG,Booking Holdings Inc. provides travel and restaurant online reservation and related services worldwide. The company operates Booking.com,Travel Services,2474.65,2538.76
BWA,BorgWarner Inc. provides solutions for combustion,Auto Parts,46.33,46.62
BXP,Boston Properties (NYSE:BXP) is the largest publicly-held developer and owner of Class A office properties in the United States,REIT—Office,47.38,47.37
BSX,Boston Scientific Corporation develops,Medical Devices,47.64,47.94
BMY,Bristol-Myers Squibb Company discovers,Drug Manufacturers—General,66.995,66.98
AVGO,Broadcom Inc. designs,Semiconductors,629.7536,639.23
BR,Broadridge Financial Solutions,Information Technology Services,138.5,137.86
CHRW,C.H. Robinson Worldwide,Integrated Freight & Logistics,94.445,94.87
CDNS,Cadence Design Systems,Software—Application,203.77,207.0
CPB,Campbell Soup Company,Packaged Foods,54.14,53.5
COF,Capital One Financial Corporation operates as the financial services holding company for the Capital One Bank (USA),Credit Services,87.54,89.91
CAH,Cardinal Health,Medical Distribution,69.2597,69.01
KMX,CarMax,Auto & Truck Dealerships,56.56,56.73
CCL,Carnival Corporation & plc engages in the provision of leisure travel services. The company operates a fleet of more than 90 ships visit approximately 700 ports under AIDA Cruises,Travel Services,9.0767,9.22
CAT,Caterpillar Inc. manufactures and sells construction and mining equipment,Farm & Heavy Construction Machinery,213.91,219.44
CBOE,Cboe Global Markets,Financial Data & Stock Exchanges,127.825,127.18
CBRE,CBRE Group,Real Estate Services,66.765,68.91
CDW,CDW Corporation provides information technology (IT) solutions in the United States,Information Technology Services,187.78,191.1
CE,Celanese Corporation,Chemicals,99.05,99.55
CNC,Centene Corporation operates as a healthcare enterprise that provides programs and services to under-insured and uninsured families,Healthcare Plans,63.1665,62.58
CNP,CenterPoint Energy,Utilities—Regulated Electric,27.865,27.32
CF,CF Industries Holdings,Agricultural Inputs,68.2658,70.0
SCHW,The Charles Schwab Corporation,Capital Markets,53.22,52.89
CHTR,Charter Communications,Telecom Services,337.54,342.17
CVX,Chevron Corporation,Oil & Gas Integrated,153.4,154.52
CMG,Chipotle Mexican Grill,Restaurants,1616.35,1632.53
CB,Chubb Limited provides insurance and reinsurance products worldwide. The company's North America Commercial P&C Insurance segment offers commercial property,Insurance—Property & Casualty,184.7573,186.01
CHD,Church & Dwight Co.,Household & Personal Products,85.485,84.32
CI,The Cigna Group,Healthcare Plans,257.98,256.58
CINF,Cincinnati Financial Corporation,Insurance—Property & Casualty,104.9212,105.98
CTAS,Cintas Corporation provides corporate identity uniforms and related business services primarily in the United States,Specialty Business Services,431.0,433.15
CSCO,Cisco Systems,Communication Equipment,49.89,49.73
C,Citigroup Inc.,Banks—Diversified,42.265,43.45
CFG,Citizens Financial Group,Banks—Regional,30.335,29.89
CME,CME Group Inc.,Financial Data & Stock Exchanges,181.64,180.03
CMS,CMS Energy Corporation operates as an energy company primarily in Michigan. The company operates through three segments: Electric Utility; Gas Utility; and Enterprises. The Electric Utility segment is involved in the generation,Utilities—Regulated Electric,59.26,57.96
KO,The Coca-Cola Company,Beverages—Non-Alcoholic,60.3256,59.92
CTSH,Cognizant Technology Solutions Corporation,Information Technology Services,57.52,58.16
CL,Colgate-Palmolive Company,Household & Personal Products,72.715,71.83
CMCSA,Comcast Corporation operates as a media and technology company worldwide. It operates through Cable Communications,Telecom Services,35.68,35.97
CMA,Comerica Incorporated,Banks—Regional,40.085,40.7
CAG,Conagra Brands,Packaged Foods,36.81,36.57
COP,ConocoPhillips explores for,Oil & Gas E&P,94.11,96.42
ED,Consolidated Edison,Utilities—Regulated Electric,93.72,91.73
STZ,Constellation Brands,Beverages—Wineries & Distilleries,215.835,214.99
CPRT,Copart,Auto & Truck Dealerships,70.28,71.23
GLW,Corning Incorporated engages in the display technologies,Electronic Components,32.235,32.66
COST,Costco Wholesale Corporation,Discount Stores,491.18,487.76
CCI,Crown Castle owns,REIT—Specialty,124.825,123.75
CSX,CSX Corporation,Railroads,27.775,28.08
CMI,Cummins Inc. designs,Specialty Industrial Machinery,221.215,226.19
CVS,CVS Health Corporation provides health services in the United States. It operates through Health Care Benefits,Healthcare Plans,72.767,72.37
DHI,D.R. Horton,Residential Construction,95.7,96.28
DHR,Danaher Corporation designs,Diagnostics & Research,244.79,246.93
DRI,Darden Restaurants,Restaurants,151.81,150.52
DVA,DaVita Inc. provides kidney dialysis services for patients suffering from chronic kidney failure in the United States. The company operates kidney dialysis centers and provides related lab services in outpatient dialysis centers. It also offers outpatient,Medical Care Facilities,75.0606,75.24
DE,Deere & Company manufactures and distributes various equipment worldwide. The company operates through four segments: Production and Precision Agriculture,Farm & Heavy Construction Machinery,382.72,391.85
DAL,Delta Air Lines,Airlines,31.15,32.14
XRAY,DENTSPLY SIRONA Inc. manufactures and sells various dental products and technologies for professional dental market worldwide. The company operates through two segments,Medical Instruments & Supplies,36.62,36.76
DVN,Devon Energy Corporation,Oil & Gas E&P,46.26,46.72
DXCM,DexCom,Medical Devices,113.16,114.5
DLR,Digital Realty supports the world's leading enterprises and service providers by delivering the full spectrum of data center,REIT—Specialty,92.565,93.51
DFS,Discover Financial Services,Credit Services,91.01,93.57
DISH,DISH Network Corporation,Telecom Services,8.505,8.84
DG,Dollar General Corporation,Discount Stores,203.75,202.85
DLTR,Dollar Tree,Discount Stores,136.0,135.46
D,Dominion Energy,Utilities—Regulated Electric,52.8917,52.22
DPZ,Domino's Pizza,Restaurants,313.39,315.43
DOV,Dover Corporation provides equipment and components,Specialty Industrial Machinery,139.5,140.53
DTE,DTE Energy Company engages in the utility operations. The company's Electric segment generates,Utilities—Regulated Electric,104.84,102.66
DUK,Duke Energy Corporation,Utilities—Regulated Electric,93.085,91.55
DD,DuPont de Nemours,Specialty Chemicals,67.99,68.36
DXC,DXC Technology Company,Information Technology Services,23.04,23.25
EMN,Eastman Chemical Company operates as a specialty materials company in the United States and internationally. The company's Additives & Functional Products segment offers hydrocarbon resins; organic acid-based solutions; amine derivative-based building blocks; metam-based soil fumigants,Specialty Chemicals,78.2725,78.73
ETN,Eaton Corporation plc operates as a power management company worldwide. The company's Electrical Americas and Electrical Global segment provides electrical components,Specialty Industrial Machinery,162.5,164.54
EBAY,eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list,Internet Retail,41.89,42.45
ECL,Ecolab Inc. provides water,Specialty Chemicals,157.58,157.04
EIX,Edison International,Utilities—Regulated Electric,66.87,66.04
EW,Edwards Lifesciences Corporation provides products and technologies for structural heart disease,Medical Devices,79.875,79.55
EA,Electronic Arts Inc. develops,Electronic Gaming & Multimedia,118.17,116.04
EMR,Emerson Electric Co.,Specialty Industrial Machinery,81.91,83.1
ETR,Entergy Corporation,Utilities—Regulated Electric,102.01,100.35
EOG,EOG Resources,Oil & Gas E&P,103.6317,104.78
EFX,Equifax Inc. operates as a data,Consulting Services,194.325,195.83
EQIX,Equinix (Nasdaq: EQIX) is the world's digital infrastructure company,REIT—Specialty,666.02,666.37
EQR,Equity Residential is committed to creating communities where people thrive. The Company,REIT—Residential,54.8725,54.7975
ESS,Essex Property Trust,REIT—Residential,197.39,196.17
EL,The Estée Lauder Companies Inc. manufactures,Household & Personal Products,238.27,238.72
RE,Everest Re Group,Insurance—Reinsurance,339.825,341.79
ES,Eversource Energy,Utilities—Regulated Electric,74.32,73.25
EXC,Exelon Corporation,Utilities—Regulated Electric,39.455,39.2
EXPE,Expedia Group,Travel Services,89.29,92.65
EXPD,Expeditors International of Washington,Integrated Freight & Logistics,104.19,104.56
EXR,Extra Space Storage Inc.,REIT—Industrial,150.56,149.27
XOM,Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States and internationally. It operates through Upstream,Oil & Gas Integrated,101.74,103.41
FFIV,F5,Software—Infrastructure,139.21,140.3
FAST,Fastenal Company,Industrial Distribution,51.605,51.74
FRT,Federal Realty is a recognized leader in the ownership,REIT—Retail,90.83,91.16
FDX,FedEx Corporation provides transportation,Integrated Freight & Logistics,216.3224,216.92
FIS,Fidelity National Information Services,Information Technology Services,49.0,49.97
FITB,Fifth Third Bancorp operates as a diversified financial services company in the United States. It operates through three segments: Commercial Banking,Banks—Regional,25.1751,25.34
FRC,First Republic Bank,Banks—Regional,12.299,12.53
FE,FirstEnergy Corp.,Utilities—Regulated Electric,38.368,37.75
FISV,Fiserv,Information Technology Services,110.33,111.1
FLT,FLEETCOR Technologies,Software—Infrastructure,196.887,199.76
FLS,Flowserve Corporation  designs,Specialty Industrial Machinery,31.005,31.41
FMC,FMC Corporation,Agricultural Inputs,115.69,116.96
F,Ford Motor Company develops,Auto Manufacturers,11.345,11.42
FTNT,Fortinet,Software—Infrastructure,62.2,63.25
FTV,Fortive Corporation designs,Scientific & Technical Instruments,64.19,64.53
BEN,Franklin Resources,Asset Management,25.91,26.19
FCX,Freeport-McMoRan Inc. engages in the mining of mineral properties in North America,Copper,37.54,37.79
GPS,The Gap,Apparel Retail,8.819,8.84
GRMN,Garmin Ltd. designs,Scientific & Technical Instruments,94.675,95.09
IT,Gartner,Information Technology Services,306.02,308.54
GD,General Dynamics Corporation operates as an aerospace and defense company worldwide. It operates through four segments: Aerospace,Aerospace & Defense,221.19,220.11
GE,General Electric Company operates as a high-tech industrial company in Europe,Specialty Industrial Machinery,91.03,91.59
GIS,General Mills,Packaged Foods,83.23,82.15
GM,General Motors Company designs,Auto Manufacturers,33.09,33.74
GPC,Genuine Parts Company distributes automotive replacement parts,Specialty Retail,157.05,154.29
GILD,Gilead Sciences,Drug Manufacturers—General,78.87,78.76
GPN,Global Payments Inc. provides payment technology and software solutions for card,Specialty Business Services,96.345,98.44
GL,Globe Life Inc.,Insurance—Life,105.025,106.36
GS,The Goldman Sachs Group,Capital Markets,308.34,314.85
GWW,W.W. Grainger,Industrial Distribution,655.8,665.38
HAL,Halliburton Company provides products and services to the energy industry worldwide. It operates in two segments,Oil & Gas Equipment & Services,29.285,29.42
HBI,Hanesbrands Inc.,Apparel Manufacturing,4.9019,4.9
HIG,The Hartford Financial Services Group,Insurance—Diversified,65.28,65.79
HAS,Hasbro,Leisure,48.61,48.64
HCA,HCA Healthcare,Medical Care Facilities,250.92,252.77
PEAK,Healthpeak Properties,REIT—Healthcare Facilities,20.6,20.3
HSIC,Henry Schein,Medical Distribution,78.73,78.13
HES,Hess Corporation,Oil & Gas E&P,119.79,120.56
HPE,Hewlett Packard Enterprise Company provides solutions that allow customers to capture,Communication Equipment,14.085,14.27
HLT,Hilton Worldwide Holdings Inc.,Lodging,130.33,135.67
HOLX,Hologic,Medical Instruments & Supplies,78.73,78.53
HD,The Home Depot,Home Improvement Retail,281.95,283.91
HON,Honeywell International Inc. operates as a diversified technology and manufacturing company worldwide. Its Aerospace segment offers auxiliary power units,Conglomerates,185.265,186.92
HRL,Hormel Foods Corporation develops,Packaged Foods,38.415,37.95
HST,Host Hotels & Resorts,REIT—Hotel & Motel,14.675,14.86
HPQ,HP Inc. provides personal computing and other access devices,Computer Hardware,27.305,27.72
HUM,Humana Inc.,Healthcare Plans,494.4,491.35
HBAN,Huntington Bancshares Incorporated operates as the bank holding company for The Huntington National Bank that provides commercial,Banks—Regional,10.635,10.68
IEX,IDEX Corporation,Specialty Industrial Machinery,217.17,218.0
IDXX,IDEXX Laboratories,Diagnostics & Research,478.27,478.74
ITW,Illinois Tool Works Inc. manufactures and sells industrial products and equipment worldwide. It operates through seven segments: Automotive OEM; Food Equipment; Test & Measurement and Electronics; Welding; Polymers & Fluids; Construction Products; and Specialty Products. The Automotive OEM segment offers plastic and metal components,Specialty Industrial Machinery,229.445,231.28
ILMN,Illumina,Diagnostics & Research,218.6154,216.95
INCY,Incyte Corporation,Biotechnology,68.48,72.26
INTC,Intel Corporation designs,Semiconductors,29.55,29.03
ICE,Intercontinental Exchange,Financial Data & Stock Exchanges,96.215,96.53
IBM,International Business Machines Corporation,Information Technology Services,124.105,123.37
IFF,International Flavors & Fragrances Inc.,Specialty Chemicals,83.28,83.51
IP,International Paper Company produces renewable fiber-based packaging and pulp products in North America,Packaging & Containers,34.057,34.11
IPG,The Interpublic Group of Companies,Advertising Agencies,34.64,35.03
INTU,Intuit Inc. provides financial management and compliance products and services for consumers,Software—Application,424.41,432.49
ISRG,Intuitive Surgical,Medical Instruments & Supplies,250.35,244.47
IVZ,Invesco Ltd. is a publicly owned investment manager. The firm provides its services to retail clients,Asset Management,14.675,15.04
IPGP,IPG Photonics Corporation develops,Semiconductor Equipment & Materials,115.19,116.94
IQV,IQVIA Holdings Inc. engages in the provision of advanced analytics,Diagnostics & Research,185.52,188.0
IRM,Iron Mountain Incorporated (NYSE: IRM),REIT—Specialty,49.4059,49.54
JBHT,J.B. Hunt Transport Services,Integrated Freight & Logistics,165.345,165.96
JKHY,Jack Henry & Associates,Information Technology Services,146.0161,146.68
J,Jacobs Solutions Inc. provides consulting,Engineering & Construction,110.6,111.68
SJM,The J. M. Smucker Company manufactures and markets branded food and beverage products worldwide. It operates in three segments: U.S. Retail Pet Foods,Packaged Foods,153.41,151.09
JNJ,Johnson & Johnson,Drug Manufacturers—General,151.46,151.13
JCI,Johnson Controls International plc,Building Products & Equipment,57.48,58.71
JPM,JPMorgan Chase & Co. operates as a financial services company worldwide. It operates through four segments: Consumer & Community Banking (CCB),Banks—Diversified,123.44,126.84
JNPR,Juniper Networks,Communication Equipment,32.34,32.12
K,Kellogg Company,Packaged Foods,65.22,64.6
KEY,KeyCorp operates as the holding company for KeyBank National Association that provides various retail and commercial banking products and services in the United States. It operates in two segments,Banks—Regional,11.265,11.27
KEYS,Keysight Technologies,Scientific & Technical Instruments,155.22,156.44
KMB,Kimberly-Clark Corporation,Household & Personal Products,129.12,127.37
KIM,Kimco Realty Corp. (NYSE:KIM) is a real estate investment trust (REIT) headquartered in Jericho,REIT—Retail,17.57,17.51
KMI,Kinder Morgan,Oil & Gas Midstream,16.45,16.39
KLAC,KLA Corporation designs,Semiconductor Equipment & Materials,372.69,388.81
KHC,The Kraft Heinz Company,Packaged Foods,37.8699,37.42
KR,The Kroger Co. operates as a retailer in the United States. The company operates combination food and drug stores,Grocery Stores,49.135,48.52
LH,Laboratory Corporation of America Holdings operates as a life sciences company that provides vital information to help doctors,Diagnostics & Research,215.795,214.65
LRCX,Lam Research Corporation designs,Semiconductor Equipment & Materials,501.84,523.59
LVS,Las Vegas Sands Corp.,Resorts & Casinos,53.53,54.73
LEG,Leggett & Platt,"Furnishings, Fixtures & Appliances",30.34,30.4
LDOS,Leidos Holdings,Information Technology Services,90.27,90.28
LEN,Lennar Corporation,Residential Construction,102.595,103.37
LLY,Eli Lilly and Company discovers,Drug Manufacturers—General,333.83,332.64
LNC,Lincoln National Corporation,Insurance—Life,19.92,20.39
LKQ,LKQ Corporation engages in the distribution of replacement parts,Auto Parts,53.24,53.57
LMT,Lockheed Martin Corporation,Aerospace & Defense,470.122,467.9
L,Loews Corporation provides commercial property and casualty insurance in the United States and internationally. It offers specialty insurance products,Insurance—Property & Casualty,53.64,53.78
LOW,Lowe's Companies,Home Improvement Retail,188.445,189.69
LUMN,Lumen Technologies,Telecom Services,2.39,2.47
LYB,LyondellBasell Industries N.V. operates as a chemical company in the United States,Specialty Chemicals,85.47,85.74
MTB,M&T Bank Corporation operates as a bank holding company for Manufacturers and Traders Trust Company and Wilmington Trust,Banks—Regional,111.62,112.37
MRO,Marathon Oil Corporation operates as an independent exploration and production company in the United States and internationally. The company engages in the exploration,Oil & Gas E&P,21.675,22.0
MPC,Marathon Petroleum Corporation,Oil & Gas Refining & Marketing,122.26,126.15
MAR,Marriott International,Lodging,154.045,159.98
MMC,Marsh & McLennan Companies,Insurance Brokers,158.325,158.65
MLM,Martin Marietta Materials,Building Materials,328.15,333.45
MAS,Masco Corporation designs,Building Products & Equipment,47.36,48.4
MA,Mastercard Incorporated,Credit Services,349.21,354.37
MKC,McCormick & Company,Packaged Foods,72.48,71.2
MCD,McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. The company's restaurants offer hamburgers and cheeseburgers,Restaurants,269.89,269.62
MCK,McKesson Corporation provides healthcare services in the United States and internationally. It operates through four segments: U.S. Pharmaceutical,Medical Distribution,341.225,335.83
MDT,Medtronic plc develops,Medical Devices,78.42,77.57
MRK,Merck & Co.,Drug Manufacturers—General,102.925,104.23
MET,MetLife,Insurance—Life,53.35,54.3
MTD,Mettler-Toledo International Inc. manufactures and supplies precision instruments and services in the United States and internationally. It operates through five segments: U.S. Operations,Diagnostics & Research,1437.46,1451.1
MGM,MGM Resorts International,Resorts & Casinos,40.36,41.23
MCHP,Microchip Technology Incorporated develops,Semiconductors,79.305,82.3
MU,Micron Technology,Semiconductors,61.075,61.34
MSFT,Microsoft Corporation develops,Software—Infrastructure,277.37,277.66
MAA,MAA,REIT—Residential,140.51,139.99
MHK,Mohawk Industries,"Furnishings, Fixtures & Appliances",94.45,95.07
TAP,Molson Coors Beverage Company manufactures,Beverages—Brewers,49.77,49.56
MDLZ,Mondelez International,Confectioners,68.06,67.2
MNST,Monster Beverage Corporation,Beverages—Non-Alcoholic,102.92,102.39
MCO,Moody's Corporation operates as an integrated risk assessment firm worldwide. It operates in two segments,Financial Data & Stock Exchanges,286.99,290.37
MS,Morgan Stanley,Capital Markets,82.22,85.84
MSI,Motorola Solutions,Communication Equipment,267.97,268.16
MSCI,MSCI Inc.,Financial Data & Stock Exchanges,538.55,546.96
NDAQ,Nasdaq,Financial Data & Stock Exchanges,52.29,52.49
NTAP,NetApp,Computer Hardware,59.95,61.53
NFLX,Netflix,Entertainment,324.9146,320.37
NWL,Newell Brands Inc. engages in the design,Household & Personal Products,11.5,11.52
NEM,Newmont Corporation engages in the production and exploration of gold. It also explores for copper,Gold,48.6,47.79
NWSA,News Corporation,Entertainment,15.935,16.18
NEE,NextEra Energy,Utilities—Regulated Electric,74.41,73.81
NKE,NIKE,Footwear & Accessories,119.44,120.97
NI,NiSource Inc.,Utilities—Regulated Gas,26.36,25.98
NSC,Norfolk Southern Corporation,Railroads,197.0,199.42
NTRS,Northern Trust Corporation,Asset Management,81.63,83.22
NOC,Northrop Grumman Corporation operates as an aerospace and defense company worldwide. The company's Aeronautics Systems segment designs,Aerospace & Defense,449.875,444.44
NCLH,Norwegian Cruise Line Holdings Ltd.,Travel Services,12.2675,12.57
NOV,NOV Inc. designs,Oil & Gas Equipment & Services,16.87,17.27
NRG,NRG Energy,Utilities—Independent Power Producers,31.08,31.01
NUE,Nucor Corporation engages in manufacture and sale of steel and steel products. The company's Steel Mills segment produces hot-rolled,Steel,146.74,148.0
NVDA,NVIDIA Corporation provides graphics,Semiconductors,264.64,271.91
NVR,NVR,Residential Construction,5306.1,5354.43
ORLY,O'Reilly Automotive,Specialty Retail,802.48,801.38
OXY,Occidental Petroleum Corporation,Oil & Gas E&P,57.68,58.48
OMC,Omnicom Group Inc.,Advertising Agencies,86.36,88.63
OKE,ONEOK,Oil & Gas Midstream,58.3,58.64
ORCL,Oracle Corporation offers products and services that address enterprise information technology environments worldwide. Its Oracle cloud software as a service offering include various cloud software applications,Software—Infrastructure,87.8,87.78
PCAR,PACCAR Inc designs,Farm & Heavy Construction Machinery,68.83,69.81
PKG,Packaging Corporation of America manufactures and sells containerboard and corrugated packaging products in the United States. The company operates through Packaging and Paper segments. The Packaging segment offers various containerboard and corrugated packaging products,Packaging & Containers,132.08,131.08
PH,Parker-Hannifin Corporation manufactures and sells motion and control technologies and systems for various mobile,Specialty Industrial Machinery,314.99,320.42
PAYX,Paychex,Staffing & Employment Services,107.74,107.88
PYPL,PayPal Holdings,Credit Services,72.975,72.56
PNR,Pentair plc provides various water solutions worldwide. It operates through Consumer Solutions; and Industrial & Flow Technologies segments. The Consumer Solutions segment designs,Specialty Industrial Machinery,50.83,51.01
PEP,PepsiCo,Beverages—Non-Alcoholic,177.5545,175.65
PKI,PerkinElmer,Diagnostics & Research,125.41,125.1
PRGO,Perrigo Company plc provides over-the-counter health and wellness solutions to enhance individual well-being in Ireland,Drug Manufacturers—Specialty & Generic,33.25,33.31
PFE,Pfizer Inc. discovers,Drug Manufacturers—General,39.9824,40.18
PM,Philip Morris International Inc. operates as a tobacco company working to delivers a smoke-free future and evolving portfolio for the long-term to include products outside of the tobacco and nicotine sector. The company's product portfolio primarily consists of cigarettes and smoke-free products,Tobacco,90.39,90.27
PSX,Phillips 66 operates as an energy manufacturing and logistics company in the United States,Oil & Gas Refining & Marketing,91.87,93.54
PNW,Pinnacle West Capital Corporation,Utilities—Regulated Electric,75.63,74.1
PXD,Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for,Oil & Gas E&P,188.705,189.18
PNC,The PNC Financial Services Group,Banks—Regional,120.45,122.13
PPG,PPG Industries,Specialty Chemicals,123.17,123.51
PPL,PPL Corporation,Utilities—Regulated Electric,26.255,25.91
PFG,Principal Financial Group,Asset Management,69.57,71.26
PG,The Procter & Gamble Company provides branded consumer packaged goods worldwide. It operates through five segments: Beauty; Grooming; Health Care; Fabric & Home Care; and Baby,Household & Personal Products,145.64,143.79
PGR,The Progressive Corporation,Insurance—Property & Casualty,137.555,137.83
PLD,Prologis,REIT—Industrial,114.2,114.15
PRU,Prudential Financial,Insurance—Life,75.91,77.23
PEG,Public Service Enterprise Group Incorporated,Utilities—Regulated Electric,57.65,56.74
PSA,Public Storage,REIT—Industrial,284.35,282.24
PHM,PulteGroup,Residential Construction,56.0,56.39
PVH,PVH Corp. operates as an apparel company worldwide. The company operates through six segments: Tommy Hilfiger North America,Apparel Manufacturing,71.98,73.86
QRVO,Qorvo,Semiconductors,100.59,102.48
QCOM,QUALCOMM Incorporated engages in the development and commercialization of foundational technologies for the wireless industry worldwide. It operates through three segments: Qualcomm CDMA Technologies (QCT); Qualcomm Technology Licensing (QTL); and Qualcomm Strategic Initiatives (QSI). The QCT segment develops and supplies integrated circuits and system software based on 3G/4G/5G and other technologies for use in wireless voice and data communications,Semiconductors,122.69,124.15
PWR,Quanta Services,Engineering & Construction,157.415,158.97
DGX,Quest Diagnostics Incorporated provides diagnostic testing,Diagnostics & Research,138.96,135.39
RL,Ralph Lauren Corporation designs,Apparel Manufacturing,109.69,111.44
RJF,Raymond James Financial,Capital Markets,88.0,91.31
O,Realty Income,REIT—Retail,60.125,59.27
REG,Regency Centers is the preeminent national owner,REIT—Retail,56.91,56.69
REGN,Regeneron Pharmaceuticals,Biotechnology,808.44,802.16
RF,Regions Financial Corporation,Banks—Regional,17.61,17.53
RSG,Republic Services,Waste Management,129.21,127.96
RMD,ResMed Inc. develops,Medical Instruments & Supplies,210.175,210.59
RHI,Robert Half International Inc. provides talent solutions and business consulting service in North America,Staffing & Employment Services,73.78,74.06
ROK,Rockwell Automation,Specialty Industrial Machinery,272.27,278.42
ROL,Rollins,Personal Services,36.195,36.17
ROP,Roper Technologies,Software—Application,426.55,425.05
ROST,Ross Stores,Apparel Retail,100.06,101.63
RCL,Royal Caribbean Cruises Ltd. operates as a cruise company worldwide. The company operates cruises under the Royal Caribbean International,Travel Services,60.0381,61.75
SPGI,S&P Global Inc.,Financial Data & Stock Exchanges,330.005,332.25
CRM,Salesforce,Software—Application,187.42,187.44
SBAC,SBA Communications Corporation is a first choice provider and leading owner and operator of wireless communications infrastructure in North,REIT—Specialty,247.82,246.9
SLB,Schlumberger Limited engages in the provision of technology for the energy industry worldwide. The company operates through four divisions: Digital & Integration,Oil & Gas Equipment & Services,44.395,45.48
